Number,Korean,Translation,Translation2,WordType,
1760,재판,A trial,,1,
1761,저쪽,"Over there, in that direction",,2,
1762,제자,A disciple,,1,
1763,창문,A window,,1,
1764,초,A second,,1,
1765,치즈,Cheese,,1,
1766,회복,"Recovery, recuperation",,1,
1767,구역,A zone or district,,1,
1768,대응,"Confrontation, opposition",,1,
1769,반대하다,Be opposed to,,8,
1770,발휘하다,"Display, exhibit",,8,
1771,소비,Consumption,,1,
1772,심장,The heart,,1,
1773,아이고,Oh my god!,,6,
1774,조용히,Quietly,,5,
1775,중소기업,Small and medium enterprises,,1,
1776,직접적,"Directly, immediately",,4,
1777,진실,"Truth, sincerity",,1,
1778,필자,"The writer, author",,1,
1779,협력,"Cooperation, cooperate with",,1,
1780,가스,Gas,,1,
1781,계층,A class or social stratum,,1,
1782,구멍,A hole,,1,
1783,담당,"Charge, undertaking",,1,
1784,만화,Cartoons,,1,
1785,먹이다,"support, feed",,8,
1786,무시하다,"disregard, ignore ; to be defiant and fail to observe",,8,
1787,보도하다,"To report, inform",,8,
1788,살짝,"(1) softly, lightly, just a little (2) furtively, stealthily",,5,
1789,생각나다,To remember,,8,
1790,우유,Milk,,1,
1791,인상,pulling/drawing up,,1,
1792,차갑다,Cold,,9,
1793,철저하다,"thoroughness, cleanliness",,9,
1794,태아,"A fetus, an unborn child",,1,
1795,관찰하다,Observe or view or watch,,8,
1796,괜히,"In vain or useless or fruitless, for a stupid reason",,5,
1797,끼다,"To put on or wear, to wear (a ring)",,8,
1798,날개,The wings,,1,
1799,녀석,Fellow,,1,
1800,눈빛,The glitter of one’s eyes,,1,
1801,단지,A public apt complex,,1,
1802,물속,Inside the water,,1,
1803,민주,Democracy,,1,
1804,성공하다,To succeed,,8,
1805,소나무,A pine tree,,1,
1806,여기저기,Here and there,,5,
1807,여인,"beauty, belle",,1,
1808,운영하다,"manage, administer",,8,
1809,평가하다,"To evaluate, estimate, judge",,8,
1810,표,"A marker, indication",,1,
1811,필요성,Necessity,,1,
1812,감추다,Hide or conceal,,8,
1813,머무르다,Stay overnight,,8,
1814,부위,"A region, part",,1,
1815,비우다,"empty, vacate",,8,
1816,설치하다,"To found, establish, create",,8,
1817,십일월,November,,1,
1818,싸다,"Wrap in, bundle",,8,
1819,아울러,"And, both together",,5,
1820,지시,"Directions, orders",,1,
1821,형성하다,"To form, make, take shape",,8,
1822,형제,Brothers and sisters,,1,
1823,화려하다,"Splendor, magnificence of a display, a look",,9,
1824,거울,1) mirror 2) a pattern or model or exemplar,,1,
1825,덧붙이다,"Add a thing, append",,8,
1826,몇몇,Several,,4,
1827,무기,Weapon,,1,
1828,세계적,International,,4,
1829,안전,Safety,,1,
1830,양파,An onion,,1,
1831,이상,"Indisposition, abnormal",,1,
1832,일종,"A kind, a sort, a species",,1,
1833,처지,"A situation,circumstances",,1,
1834,촬영,"Photographing, taking pictures/films",,1,
1835,타다,"Burn, blaze (firewood)",,8,
1836,틀다,"To twist, wind",,8,
1837,형편,"The situation, the state of things (esp. financial)",,1,
1838,가지,Eggplant,,1,
1839,감다,Close,,8,
1840,고추,Red pepper,,1,
1841,규칙,Rules or regulations,,1,
1842,본질,"True nature,essence",,1,
1843,비치다,Shine,,8,
1844,빵,Bread,,1,
1845,서서히,"Slowly, little by little",,5,
1846,스승,"A teacher,master",,1,
1847,신분,Social position,,1,
1848,실시되다,To be enforced,,8,
1849,아마도,Probably,,5,
1850,안방,The inner room,,1,
1851,앓다,"To be ill, sick with sth",,8,
1852,어제,Yesterday,,1,
1853,오직,"Only, merely, solely",,5,
1854,위험하다,To be dangerous,,9,
1855,자신,Self-confidence,,1,
1856,잠시,For a little while,,5,
1857,졸업하다,To graduate,,8,
1858,증거,"evidence,proof",,1,
1859,초점,"A focus, a focal point",,1,
1860,포함되다,To be included in,,8,
1861,호랑이,A tiger,,1,
1862,강화하다,Strengthen,,8,
1863,공포,Fear or dread,,1,
1864,권위,1) Authority or power 2) dignity or prestige,,1,
1865,덜,"Less, incompletely",,5,
1866,미루다,"Postpone ; (2) to guess, infer and make an educated guess",,8,
1867,본래,"originally,primarily",,5,
1868,부엌,Kitchen,,1,
1869,세금,Tax,,1,
1870,실정,The actual situation,,1,
1871,영양,Nutrition,,1,
1872,육체,"The flesh, the body",,1,
1873,입구,Entrance,,1,
1874,잔뜩,"extremely, to the utmost",,5,
1875,적극,The positive,,1,
1876,최소한,At least,,5,
1877,펼쳐지다,"Stretch, extend away",,8,
1878,경험하다,To experience or go through,,8,
1879,그이,That person or he or him / she or her,,2,
1880,넘치다,Overflow,,8,
1881,놓치다,"Miss, let slip",,8,
1882,대기,The atmosphere,,1,
1883,독립,Independence,,1,
1884,머릿속,Inside one’s head,,1,
1885,북쪽,The north direction,,1,
1886,불안하다,"To be uneasy, anxious",,9,
1887,쇠고기,Beef,,1,
1888,위반,"Violation, infringement",,1,
1889,카드,Card,,1,
1890,평생,A lifetime,,1,
1891,해당하다,To be applied/applicable under,,8,
1892,간부,"The leaders (cadre, exec, executive, management)",,1,
1893,관념,An idea or notion,,1,
1894,굉장히,Very much or greatly,,5,
1895,단어,Word,,1,
1896,덮다,"To cover, veil",,8,
1897,도와주다,To help,,8,
1898,도입,"introduction, invitation",,1,
1899,몰다,Drive , to chase or urge on,,8
1900,배우,Actor,,1,
1901,비추다,"(1) Shed, throw light on (2) to reflect in the mirror",,8,
1902,신발,"shoes, footwear",,1,
1903,알,"An egg, spawn (fish)",,1,
1904,앞서다,"To go before, precede",,8,
1905,여건,"A postulate, a given condition",,1,
1906,오래전,Since a long time before,,1,
1907,자격,Qualification,,1,
1908,통제,"control, regulation",,1,
1909,계단,A staircase or a set of stairs,,1,
1910,김치,Spicy cabbage,,1,
1911,끄덕이다,Nod,,8,
1912,낯설다,"To be unfamiliar with, to be a stranger to ( a person)",,9,
1913,높이,Height (noun),,1,
1914,닮다,Resemble,,8,
1915,마음속,Deep in one’s heart,,1,
1916,못지않다,Be just as good as,,9,
1917,반영하다,"Reflect, be reflected",,8,
1918,뼈,A bone,,1,
1919,성장하다,"To grow,be brought up",,8,
1920,소속,"Belong to, attached to",,1,
1921,연결되다,"Connect, attach",,8,
1922,장사,"trade,business",,1,
1923,제작,"manufacture,production",,1,
1924,제한,"limits,bounds",,1,
1925,차다,to kick,,8,
1926,추진,"Propulsion, drive",,1,
1927,취하다,To be drunk,,8,
1928,콩,A bean,,1,
1929,한숨,A breath,,1,
1930,헤어지다,"Part from, part company with",,8,
1931,구입하다,Purchase or buying,,8,
1932,날다,To fly,,8,
1933,너머,"Beyond, on the other side",,1,
1934,여간,"just, a little. 여간 ~지 않다 means very very ~다",,5,
1935,마련,"planning, making arrangements ; provisions, preparations",,1,
1936,살,"flesh,muscle",,1,
1937,선장,A captain,,1,
1938,설탕,Sugar,,1,
1939,순수하다,To be pure,,9,
1940,스타일,Style,,1,
1941,시점,Point in time,,1,
1942,싸다,Be inexpensive,,9,
1943,의사,"An intention, a purpose",,1,
1944,집중,Concentration,,1,
1945,코드,Code,,1,
1946,큰일,"An important affair, a serious matter",,1,
1947,거짓말,A lie or falsehood,,1,
1948,대단하다,"Considerable, grand",,9,
1949,대단히,Extremely,,5,
1950,마주,Face to face,,5,
1951,세계관,A worldview,,1,
1952,온통,"Wholly, entirely",,5,
1953,의존하다,"To depend on, rely on",,8,
1954,자세히,In detail,,5,
1955,점심,Lunch,,1,
1956,정확히,Exactly,,5,
1957,지치다,"Be exhausted, fatigued",,8,
1958,청년,"A young man, a youth",,1,
1959,혀,The tongue,,1,
1960,확대하다,"To enlarge,magnify",,8,
1961,후춧가루,Ground pepper,,1,
1962,건설하다,To construct or erect,,8,
1963,경쟁력,Competitiveness,,1,
1964,마침,"Just, exactly",,5,
1965,신용,"confidence,trust",,1,
1966,연락,"Connection, communication",,1,
1967,온몸,The whole body,,1,
1968,정,Feeling of attachment,,1,
1969,정신적,Mental,,4,
1970,증상,Symptoms,,1,
1971,출연하다,"Appear on stage, act, sing",,8,
1972,칼,A knife,,1,
1973,한꺼번에,All at once,,5,
1974,강제,Compulsion or coercion,,1,
1975,건너다,Go over or go across,,8,
1976,깨다,Wake up from sleep,,8,
1977,낚시,Fishing,,1,
1978,다가가다,To get near to,,8,
1979,문자,"letters,character",,1,
1980,묻다,to Stain,,8,
1981,비롯되다,"To be begun, to have started",,8,
1982,슬프다,"To be sad,sorrowful",,9,
1983,신부,Bride,,1,
1984,여겨지다,"To look, appear, think of sth as",,8,
1985,오징어,"Cuttlefish, squid",,1,
1986,요금,"A rate, a fare",,1,
1987,용돈,"Pocket money, money for expenses",,1,
1988,위주,Put first in importance,,1,
1989,음료,"A beverage, a drink",,1,
1990,의자,A chair,,1,
1991,전자,An electron,,1,
1992,전해지다,To be transmitted,,8,
1993,전환,"To exchange, convert, change",,1,
1994,지경,"A boundary,situation,state",,1,
1995,진행,"Progress, advance",,1,
1996,카메라,Camera,,1,
1997,통증,"An ache, pain",,1,
1998,편리하다,"To be convenient, handy",,9,
1999,하천,"A river, watercourse",,1,
2000,현금,"Cash, ready funds, not a credit card",,1,
