Number,Korean,Translation,Translation2,WordType,ExampleSentence,ExampleSentenceTranslation
1277,평,"a Pyeong, a square area about 2 square meters",,1,우리 집은 삼십 평 정도 됩니다.,Our house is about thirty pyeong.
1278,권리,A right or a claim to,,1,모든 시민은 투표할 권리가 있다.,Every citizen has the right to vote.
1279,끝내다,To end,,8,오늘 안에 이 일을 끝내야 한다.,I have to finish this work within today.
1280,대답,An answer,,1,선생님의 질문에 대답을 하지 못했다.,I could not give an answer to the teacher question.
1281,시작,The beginning,,1,좋은 시작이 반이다.,A good beginning is half the battle.
1282,어려움,"difficulty, hardship",,1,많은 어려움을 극복하고 성공했다.,I succeeded by overcoming many difficulties.
1283,일주일,One whole day,,1,일주일에 세 번 운동을 합니다.,I exercise three times a week.
1284,자원,Resources,,1,천연 자원을 아껴 써야 합니다.,We should use natural resources sparingly.
1285,춤,Dance,,1,음악에 맞춰 춤을 추었다.,I danced to the music.
1286,넘기다,"Pass over, send across",,8,책의 다음 페이지를 넘겼다.,I turned to the next page of the book.
1287,물체,A material body,,1,어두운 곳에서 물체를 구별하기 어렵다.,It is difficult to distinguish objects in dark places.
1288,분명히,Obviously,,5,분명히 여기에 두었는데 없어졌다.,I clearly put it here but it disappeared.
1289,시위,A demonstration,,1,시민들이 거리에서 시위를 벌였다.,Citizens held a demonstration on the streets.
1290,아무것,Anything,,2,냉장고에 아무것도 없다.,There is nothing in the refrigerator.
1291,온,"All, whole, entire",,4,온 세상이 하얗게 변했다.,The whole world turned white.
1292,젖다,"To be wet, soaked",,8,갑자기 비가 와서 옷이 다 젖었다.,It suddenly rained and all my clothes got soaked.
1293,제외하다,To exclude,,8,음료를 제외하고 모두 주문했다.,We ordered everything except drinks.
1294,최대,"The greatest, the largest",,1,이번 할인의 최대 혜택을 받으세요.,Get the greatest benefit from this discount.
1295,평소,"Ordinary times, ordinarily",,1,그는 평소에 운동을 열심히 한다.,He exercises hard on ordinary days.
1296,견해,An opinion or view. Same as 의견,,1,이 문제에 대한 견해가 다르다.,We have different views on this issue.
1297,깨끗하다,To be clean or pure,,9,방을 깨끗하게 청소했다.,I cleaned the room to make it spotless.
1298,농사,Farming,,1,할아버지는 평생 농사를 지으셨다.,My grandfather farmed his entire life.
1299,안정,Stability,,1,경제적 안정을 위해 저축을 한다.,I save money for economic stability.
1300,어둠,Darkness,,1,어둠 속에서 길을 찾기 어려웠다.,It was hard to find the way in the darkness.
1301,어둡다,"To be dark, dim, gloomy",,9,방이 너무 어두워서 불을 켰다.,The room was too dark so I turned on the light.
1302,어쨌든,"In any case, anyhow",,5,어쨌든 결과는 좋았으니 다행이다.,In any case the result was good so that is a relief.
1303,주택,A house,,1,정부가 서민 주택 공급을 늘리겠다고 했다.,The government said it would increase housing supply for ordinary
1304,고장,A district or producing area,,1,이곳은 사과의 고장으로 유명하다.,This place is famous as an apple-producing district.
1305,관련하다,To be related to or connected to,,8,이 사건과 관련한 증거가 발견되었다.,Evidence related to this case was discovered.
1306,눈길,Line of vision,,1,그녀의 독특한 패션이 눈길을 끌었다.,Her unique fashion drew people attention.
1307,물어보다,Ask,,8,모르는 것이 있으면 물어보세요.,If there is something you do not know please ask.
1308,미안하다,To be sorry,,9,늦어서 정말 미안합니다.,I am really sorry for being late.
1309,밀다,"push, shove",,8,문을 세게 밀어서 열었다.,I pushed the door hard and opened it.
1310,스트레스,Stress,,1,요즘 스트레스를 많이 받고 있다.,I have been getting a lot of stress lately.
1311,음,"Sound you make to express doubt, worry",,6,"음, 그건 좀 생각해 봐야겠다.","Hmm, I need to think about that a bit."
1312,인사,"People, men of society",,1,만나면 먼저 인사를 하는 것이 예의입니다.,It is polite to greet someone first when you meet them.
1313,주어지다,"To offer, proffer (conditions)",,8,기회가 주어지면 꼭 도전하겠다.,If an opportunity is given I will definitely take on the challenge.
1314,고려하다,Regard or respect,,8,여러 가지 상황을 고려하여 결정했다.,I decided after considering various situations.
1315,과일,A fruit,,1,매일 신선한 과일을 먹는 것이 좋다.,It is good to eat fresh fruit every day.
1316,널리,Widely,,5,이 사실은 널리 알려져 있다.,This fact is widely known.
1317,농촌,A farm village,,1,많은 젊은이들이 농촌을 떠나고 있다.,Many young people are leaving farm villages.
1318,올라오다,Come up,,8,산 정상까지 올라오는 데 두 시간 걸렸다.,It took two hours to come up to the mountain top.
1319,챙기다,"gather, collect, assemble your stuff — to amass (money, a collection)",,8,외출할 때 우산을 챙겨 가세요.,Take an umbrella with you when you go out.
1320,고르다,Choose or select,,8,마음에 드는 색을 골라 주세요.,Please choose a color you like.
1321,바르다,"Spread, apply",,8,얼굴에 선크림을 발랐다.,I applied sunscreen on my face.
1322,벌어지다,"To get serious, enlarge",,8,두 사람 사이의 격차가 점점 벌어지고 있다.,The gap between the two people is gradually widening.
1323,소재,"material, subject matter",,1,이 소설은 역사적 사건을 소재로 삼았다.,This novel used a historical event as its subject matter.
1324,전망,"A view, prospect",,1,경제 전망이 밝지 않다.,The economic prospect is not bright.
1325,포기하다,"To give up, to abandon",,8,절대 꿈을 포기하지 마세요.,Never give up on your dreams.
1326,형성되다,"To be formed, made up",,8,오랜 시간에 걸쳐 문화가 형성되었다.,Culture was formed over a long period of time.
1327,고치다,"To fix, amend, change",,8,고장 난 컴퓨터를 고쳤다.,I fixed the broken computer.
1328,그림자,A shadow or a silhouette or an image,,1,벽에 긴 그림자가 비쳤다.,A long shadow was cast on the wall.
1329,눈,Snow,,1,밤사이에 눈이 많이 내렸다.,A lot of snow fell overnight.
1330,다하다,"Finish, go through, be exhausted, run out of",,8,최선을 다해서 노력했다.,I tried my best with all my effort.
1331,마침내,"Finally, in the end",,5,마침내 오랜 꿈을 이루었다.,I finally achieved my long-held dream.
1332,비교하다,To compare,,8,두 제품의 가격을 비교해 보았다.,I compared the prices of the two products.
1333,시월,October,,1,시월에는 단풍이 아름답다.,The autumn leaves are beautiful in October.
1334,커지다,To become bigger,,8,아이가 하루하루 커지고 있다.,The child is getting bigger day by day.
1335,한쪽,On one side,,1,한쪽으로 비켜 주세요.,Please move to one side.
1336,검사,Investigation or inspection or examination or audit,,1,건강 검사를 받으러 병원에 갔다.,I went to the hospital to get a health examination.
1337,결론,A conclusion,,1,회의에서 최종 결론을 내렸다.,We reached a final conclusion at the meeting.
1338,맡기다,Entrust sb with sth,,8,아이를 할머니께 맡기고 출근했다.,I entrusted my child to my grandmother and went to work.
1339,박물관,Museum,,1,주말에 국립 박물관을 방문했다.,I visited the national museum on the weekend.
1340,소문,A rumor,,1,그 소문은 사실이 아니었다.,That rumor was not true.
1341,싣다,"To load, take (passengers)",,8,트럭에 짐을 싣고 출발했다.,We loaded the luggage onto the truck and departed.
1342,쌓다,To pile up,,8,벽돌을 높이 쌓아 담을 만들었다.,We piled up bricks high to build a wall.
1343,어서,Quickly 2) kindly,,5,"어서 오세요, 기다리고 있었어요.","Welcome, I have been waiting for you."
1344,자녀,one’s children,,1,자녀 교육에 관심이 많다.,I am very interested in my children education.
1345,제목,"A subject, theme",,1,이 책의 제목이 뭐예요?,What is the title of this book?
1346,짓,Something you do,,1,나쁜 짓을 하면 안 됩니다.,You must not do bad things.
1347,판결,A judgment (from a judge),,1,법원이 무죄 판결을 내렸다.,The court delivered a not-guilty judgment.
1348,팔월,August,,1,팔월에 가족 여행을 갈 계획이다.,I plan to go on a family trip in August.
1349,하얗다,White,,9,눈이 와서 세상이 하얗게 변했다.,It snowed and the world turned white.
1350,희망,"Hope, wish",,1,희망을 잃지 않고 계속 노력했다.,I kept trying without losing hope.
1351,가방,Bag,,1,가방에 책과 노트를 넣었다.,I put books and notebooks in the bag.
1352,군대,Troops or an army,,1,그는 작년에 군대에 입대했다.,He enlisted in the army last year.
1353,그만큼,That much or to that extent,,5,노력한 그만큼 좋은 결과를 얻었다.,I got good results to that extent of my effort.
1354,무어,What? 무엇,,2,무어라 말해야 할지 모르겠다.,I do not know what to say.
1355,비로소,For the first time,,5,직접 경험하고 나서야 비로소 이해했다.,I understood for the first time only after experiencing it myself.
1356,상대방,Conversation partner,,1,상대방의 입장에서 생각해 보세요.,Try thinking from the other person perspective.
1357,서구,Western Europe,,1,서구 문화의 영향을 많이 받았다.,It was greatly influenced by Western European culture.
1358,소유,Possession,,1,이 건물은 개인 소유입니다.,This building is in private possession.
1359,시골,Countryside,,1,주말마다 시골에 내려간다.,I go down to the countryside every weekend.
1360,실수,A mistake,,1,작은 실수가 큰 문제를 일으켰다.,A small mistake caused a big problem.
1361,잘못되다,To turn out wrong,,8,계획이 잘못되어 처음부터 다시 시작했다.,The plan went wrong so we started over from the beginning.
1362,치료,"Medical treatment, medical care",,1,적절한 치료를 받으면 빨리 나을 수 있다.,You can recover quickly if you receive proper medical treatment.
1363,폭,Width, range,,1,이 천의 폭이 좀 좁다.,The width of this fabric is a bit narrow.
1364,호,"A pen name, a title; a number, an issue",,1,잡지 최신 호를 구입했다.,I purchased the latest issue of the magazine.
1365,내밀다,To Push out,,8,창문 밖으로 손을 내밀었다.,I pushed my hand out of the window.
1366,맞다,"Be struck, beaten",,8,공에 맞아서 머리가 아팠다.,My head hurt from being hit by the ball.
1367,부문,"A section, department",,1,이 회사는 여러 부문으로 나뉘어 있다.,This company is divided into several departments.
1368,시리즈,Series,,1,이 드라마 시리즈가 인기를 끌고 있다.,This drama series is gaining popularity.
1369,임신,Pregnant,,1,언니가 임신 소식을 알려 주었다.,My older sister told us the news of her pregnancy.
1370,잡히다,To be caught , to extinguish a fire,,8,도둑이 경찰에게 잡혔다.,The thief was caught by the police.
1371,규정,Provision or stipulation,,1,회사 규정을 반드시 지켜야 합니다.,You must follow the company regulations.
1372,그램,Gram,,1,고기 삼백 그램을 주세요.,Please give me three hundred grams of meat.
1373,밭,"A field, farm",,1,할머니가 밭에서 채소를 기르신다.,My grandmother grows vegetables in the field.
1374,분석하다,To analyze,,8,전문가가 데이터를 분석하고 있다.,The expert is analyzing the data.
1375,식구,"Members of a family, your immediate family members (those you live with, preferably)",,1,우리 식구는 모두 네 명입니다.,There are four members in our family.
1376,아예,"From the very first, from the very beginning",,5,아예 처음부터 다시 해 봅시다.,Let us just start over from the very beginning.
1377,어찌,"How, in what way, by what means",,5,이 일을 어찌 해야 할지 모르겠다.,I do not know how to deal with this matter.
1378,울리다,To ring (a bell) , to create an echo effect,,8,종을 크게 울렸다.,I rang the bell loudly.
1379,작용하다,"To apply , use",,8,이 약은 빠르게 작용한다.,This medicine works quickly.
1380,확실하다,"To be sure, certain",,9,그 정보가 확실한지 다시 확인해 보세요.,Check again whether that information is certain.
1381,개선,Renovation or improvement or betterment,,1,교통 환경 개선이 시급하다.,Improvement of the transportation environment is urgent.
1382,그릇,A vessel or receptacle,,1,그릇을 설거지해서 정리했다.,I washed the dishes and organized them.
1383,글자,A letter or a character,,1,이 글자가 너무 작아서 읽기 어렵다.,These letters are too small to read.
1384,바람직하다,"Be desirable, advisable, to be appropriate, good",,9,서로 존중하는 태도가 바람직하다.,An attitude of mutual respect is desirable.
1385,연구하다,"To research, investigate",,8,과학자들이 새로운 치료법을 연구하고 있다.,Scientists are researching new treatments.
1386,착하다,To be nice,,9,그 아이는 성격이 매우 착하다.,That child has a very nice personality.
1387,개,A dog,,1,우리 집에는 개 한 마리가 있다.,There is one dog in our house.
1388,부동산,Real estate,,1,서울의 부동산 가격이 계속 오르고 있다.,Real estate prices in Seoul keep rising.
1389,신화,A myth,,1,그리스 신화에 관한 책을 읽었다.,I read a book about Greek myths.
1390,양,Miss ~,,1,"양 선생님, 안녕하세요.","Hello, Miss Yang."
1391,점,"a spot, a blemish",,1,하얀 셔츠에 검은 점이 묻었다.,A dark spot got on the white shirt.
1392,직업,"An occupation, calling",,1,당신의 직업은 무엇입니까?,What is your occupation?
1393,거두다,Collect or gather up,,8,올해 농작물을 풍성하게 거두었다.,We gathered a plentiful harvest of crops this year.
1394,방학,School holidays,,1,여름 방학에 여행을 갈 예정이다.,I plan to travel during summer vacation.
1395,범위,"Range, area",,1,시험 범위가 너무 넓어서 걱정이다.,I am worried because the exam range is too broad.
1396,조상,Ancestors,,1,우리 조상들의 지혜를 배워야 한다.,We should learn from the wisdom of our ancestors.
1397,철학,Philosophy,,1,대학에서 철학을 전공했다.,I majored in philosophy at university.
1398,검다,Black or dark,,9,그녀는 검은 머리카락이 아름답다.,Her black hair is beautiful.
1399,곁,Neighborhood or vicinity,,1,항상 네 곁에 있을게.,I will always be by your side.
1400,근본적,"foundational, fundamental",,4,이 문제를 해결하려면 근본적인 변화가 필요하다.,Fundamental change is needed to solve this problem.
1401,너희,You guys,,2,너희 둘 다 내일 시험 준비는 잘 하고 있니?,Are you guys both preparing well for tomorrow exam?
1402,대형,"Large, full-sized",,1,대형 마트에서 장을 보면 가격이 더 저렴하다.,Shopping at a large mart is cheaper.
1403,문제점,The point at issue,,1,이 계획의 문제점을 먼저 파악해야 합니다.,We need to identify the problems with this plan first.
1404,본격적,Exemplary,,4,본격적인 여름이 시작되면서 해변이 붐비기 시작했다.,As full-scale summer began the beaches started to get
1405,불가능하다,Impossible,,9,이 조건에서는 성공이 불가능하다고 생각합니다.,I think success is impossible under these conditions.
1406,충격,"An impact, a shock",,1,그 소식은 모든 사람에게 큰 충격을 주었다.,That news was a big shock to everyone.
1407,퍼지다,"Spread out, get broader",,8,소문이 학교 전체에 빠르게 퍼졌다.,The rumor spread quickly throughout the entire school.
1408,금방,Just now or a moment ago,,5,금방 먹은 밥인데 벌써 배가 고프다.,I just ate but I am already hungry again.
1409,남쪽,South side,,1,제주도는 한국의 남쪽에 위치해 있다.,Jeju Island is located in the south of Korea.
1410,누르다,Press or push down,,8,엘리베이터 버튼을 눌러 주세요.,Please press the elevator button.
1411,미술,"art, the fine arts",,1,그녀는 대학에서 미술을 전공했다.,She majored in fine arts in college.
1412,백성,The common people,,1,왕은 백성의 목소리에 귀를 기울여야 한다.,A king must listen to the voice of the common people.
1413,상당히,"fairly, considerably",,5,이번 프로젝트는 상당히 복잡한 편이다.,This project is fairly complex.
1414,색깔,Color,,1,이 꽃은 색깔이 참 다양하다.,This flower has really diverse colors.
1415,요리,Cooking,,1,어머니의 요리 솜씨는 정말 대단하다.,My mother cooking skills are truly amazing.
1416,유명하다,To be famous,,9,이 식당은 칼국수로 유명하다.,This restaurant is famous for its knife-cut noodles.
1417,자네,You,,2,자네가 이 일을 맡아 주면 좋겠네.,I would like you to take charge of this work.
1418,기13,1) energy 2) breath or wind,,1,오늘은 기가 없어서 일찍 쉬려고 한다.,I have no energy today so I plan to rest early.
1419,꽤,Fairly or considerably,,5,그 영화는 꽤 재미있었다.,That movie was fairly entertaining.
1420,외국인,"A foreigner, a foreign national",,1,이 지역에는 외국인 관광객이 많다.,There are many foreign tourists in this area.
1421,한참,"For some time, for a while",,5,버스를 한참 동안 기다렸지만 오지 않았다.,I waited for the bus for quite a while but it did not come.
1422,군사,Military affairs,,1,그 나라는 군사 훈련을 강화하고 있다.,That country is strengthening its military training.
1423,끊다,Cut off or sever,,8,건강을 위해 담배를 끊었다.,I quit smoking for my health.
1424,넘어가다,Cross or go over,,8,해가 산 너머로 넘어갔다.,The sun went over the mountain.
1425,담기다,Be put food in a bottle or for pickling,,8,그릇에 따뜻한 국이 담겨 있었다.,Warm soup was placed in the bowl.
1426,마당,Garden,,1,아이들이 마당에서 뛰어놀고 있다.,The children are running around playing in the garden.
1427,부인,A woman,,1,사장님 부인께서 직접 오셨습니다.,The president wife came in person.
1428,서두르다,To hurry up,,8,약속 시간에 늦지 않으려면 서둘러야 한다.,We need to hurry if we do not want to be late for the appointment.
1429,지적,"Pointing out, indication",,1,선생님의 지적 덕분에 실수를 고칠 수 있었다.,Thanks to the teacher pointing out I was able to fix the
1430,짝,"One pair, one couple",,1,체육 시간에 짝을 지어 운동했다.,We paired up and exercised during PE class.
1431,참으로,"really, indeed",,5,참으로 아름다운 풍경이었다.,It was truly a beautiful scenery.
1432,충분하다,"To be sufficient, ample",,9,준비할 시간이 충분하니 걱정하지 마세요.,There is sufficient time to prepare so do not worry.
1433,기쁘다,To be happy,,9,합격 소식을 듣고 너무 기뻤다.,I was so happy to hear the news of passing.
1434,숙제,Homework,,1,오늘 숙제가 너무 많아서 밤늦게까지 했다.,There was so much homework today that I worked until late at night.
1435,앞두다,Have a distance ahead,,8,시험을 앞두고 긴장이 되기 시작했다.,I started getting nervous with the exam ahead.
1436,예산,"An estimate, budget",,1,이번 프로젝트의 예산이 부족합니다.,The budget for this project is insufficient.
1437,온갖,"All kinds, all sorts",,4,시장에는 온갖 종류의 과일이 있었다.,There were all kinds of fruit at the market.
1438,우려,"worry, anxiety, fear",,1,경기 침체에 대한 우려가 커지고 있다.,Concerns about the economic recession are growing.
1439,우산,An umbrella,,1,비가 올 것 같으니 우산을 가져가세요.,It looks like it will rain so take an umbrella.
1440,기쁨,Joy or delight,,1,아이의 탄생은 온 가족에게 큰 기쁨이었다.,The birth of the child was a great joy to the whole family.
1441,깊이,Deepness,,1,이 호수의 깊이는 약 30미터이다.,The depth of this lake is about 30 meters.
1442,꾸미다,Decorate,,8,크리스마스를 맞아 집을 예쁘게 꾸몄다.,We decorated the house beautifully for Christmas.
1443,늘리다,"Increase, multiply",,8,운동 시간을 조금씩 늘려 나가고 있다.,I am gradually increasing my exercise time.
1444,무릎,A knee,,1,오래 앉아 있었더니 무릎이 아프다.,My knees hurt from sitting for a long time.
1445,발견되다,Be discovered,,8,새로운 유적지가 공사 현장에서 발견되었다.,A new archaeological site was discovered at the construction site.
1446,보호하다,"protect, shelter, guard",,8,환경을 보호하기 위해 모두가 노력해야 한다.,Everyone must make an effort to protect the environment.
1447,시스템,System,,1,새로운 시스템을 도입한 후 업무 효율이 높아졌다.,Work efficiency improved after introducing the new system.
1448,이용,To use,,1,대중교통 이용을 권장합니다.,We encourage the use of public transportation.
1449,지난달,Last month,,1,지난달에 새 아파트로 이사했다.,I moved to a new apartment last month.
1450,지르다,"Holler, yell, scream",,8,그녀는 놀라서 비명을 질렀다.,She screamed in surprise.
1451,참여,Participation,,1,시민들의 적극적인 참여가 필요합니다.,Active participation from citizens is needed.
1452,걸음,Walking or stepping or a step,,1,아기가 첫 걸음을 떼었다.,The baby took its first step.
1453,겨우,Barely or narrowly. 간신히,,5,겨우 마감 시간에 맞춰 과제를 제출했다.,I barely submitted the assignment on time.
1454,마르다,Become dry,,8,장마가 끝나고 빨래가 빨리 말랐다.,The laundry dried quickly after the rainy season ended.
1455,비교적,Comparatively,,5,오늘 날씨는 비교적 따뜻한 편이다.,Today weather is comparatively warm.
1456,애쓰다,Make efforts/pains to do sth,,8,그는 좋은 성적을 받으려고 애썼다.,He made great efforts to get good grades.
1457,올바르다,"Be honest, straightforward",,9,올바른 판단을 내리는 것이 중요하다.,It is important to make the right judgment.
1458,책상,On the desk,,1,책상 위에 편지가 놓여 있었다.,A letter was placed on the desk.
1459,춥다,To be cold,,9,올겨울은 유난히 추운 것 같다.,This winter seems exceptionally cold.
1460,흔하다,To be everywhere,,9,서울에서는 카페를 찾는 것이 흔한 일이다.,Finding a cafe in Seoul is a common thing.
1461,높아지다,Become high,,8,물가가 계속 높아지고 있어서 걱정이다.,I am worried because prices keep getting higher.
1462,늙다,Grow old,,8,부모님이 늙어 가시는 모습을 보면 마음이 아프다.,It hurts to see my parents growing old.
1463,단위,"A unit, a monad",,1,거리의 단위는 킬로미터를 사용합니다.,We use kilometers as the unit of distance.
1464,무겁다,Heavy , a stuffy atmosphere,,9,이 가방은 책이 많아서 무겁다.,This bag is heavy because there are many books in it.
1465,바람,"As a result, by the influence of",,1,갑자기 비가 오는 바람에 옷이 다 젖었다.,My clothes all got wet as a result of the sudden rain.
1466,상상,Imagination,,1,현실은 상상과 많이 달랐다.,Reality was very different from imagination.
1467,소득,"An income, earnings",,1,올해 가계 소득이 조금 늘었다.,Household income increased a little this year.
1468,수도,"the capital city, e.g. Seoul, of a country",,1,서울은 대한민국의 수도이다.,Seoul is the capital of South Korea.
1469,역,"A part, a role",,1,그 배우는 악당 역을 맡았다.,That actor took on the role of the villain.
1470,인식하다,"recognition, cognizance",,8,사람들이 환경 문제를 심각하게 인식하기 시작했다.,People began to seriously recognize environmental problems.
1471,자,A Chinese character,,1,이 자는 무슨 뜻인지 모르겠다.,I do not know what this character means.
1472,침대,A bed,,1,피곤해서 침대에 눕자마자 잠들었다.,I was so tired that I fell asleep as soon as I lay on the bed.
1473,권,A volume or a book,,1,이 소설은 전체 세 권으로 구성되어 있다.,This novel consists of three volumes in total.
1474,맺다,"form, tie",,8,두 나라는 우호적인 관계를 맺었다.,The two countries formed a friendly relationship.
1475,수요,"demand, requirement",,1,전기차에 대한 수요가 점점 증가하고 있다.,Demand for electric vehicles is gradually increasing.
1476,스타,Star,,1,그는 하룻밤 사이에 스타가 되었다.,He became a star overnight.
1477,시계,"clock, timekeeper, timepiece",,1,벽에 걸린 시계가 멈춰 있었다.,The clock hanging on the wall had stopped.
1478,입술,The lips,,1,날씨가 건조해서 입술이 갈라졌다.,My lips cracked because the weather was dry.
1479,잎,A leaf,,1,가을이 되면 나뭇잎이 빨갛게 변한다.,When autumn comes the leaves turn red.
1480,중간,In the middle,,1,중간 시험이 다음 주에 있다.,The midterm exam is next week.
1481,지도자,Leader,,1,훌륭한 지도자는 국민의 신뢰를 얻어야 한다.,A great leader must earn the trust of the people.
1482,천천히,Slowly,,5,천천히 읽어야 내용을 이해할 수 있다.,You need to read slowly to understand the content.
1483,구성하다,To organize or makeup,,8,다양한 분야의 전문가들로 팀을 구성했다.,We organized a team of experts from various fields.
1484,대체로,"Generally, on the whole, for the most part",,5,대체로 학생들의 반응이 긍정적이었다.,The students reactions were generally positive.
1485,몹시,Extremely,,5,어제는 몹시 더워서 잠을 잘 수 없었다.,It was extremely hot yesterday so I could not sleep.
1486,문득,Suddenly,,5,문득 고향 친구가 보고 싶어졌다.,I suddenly missed my hometown friend.
1487,스포츠,Sports,,1,그는 어릴 때부터 스포츠를 좋아했다.,He has liked sports since he was young.
1488,위원장,A chairman of a committee,,1,위원장이 회의 결과를 발표했다.,The chairman announced the results of the meeting.
1489,저기,"That place, there",,2,저기 보이는 건물이 우리 학교입니다.,The building you see over there is our school.
1490,특별하다,"To be special, extraordinary",,9,오늘은 특별한 날이니까 외식하자.,Today is a special day so let us eat out.
1491,효과적,Effective,,4,효과적인 학습 방법을 찾는 것이 중요하다.,It is important to find an effective study method.
1492,가까이,Close,,5,학교가 집에서 가까이 있어서 편하다.,It is convenient because the school is close to home.
1493,낫다,Superior,,9,건강이 예전보다 많이 나았다.,My health has gotten much better than before.
1494,넘어서다,Pass over,,8,매출이 목표를 넘어섰다.,Sales surpassed the target.
1495,볶다,"fry, roast",,8,채소를 센 불에 빠르게 볶았다.,I quickly stir-fried the vegetables over high heat.
1496,생산하다,"To produce, make",,8,이 공장은 하루에 천 대의 자동차를 생산한다.,This factory produces a thousand cars per day.
1497,언젠가,"One of these days, at some time in the future",,5,언젠가 유럽 여행을 꼭 가고 싶다.,I definitely want to travel to Europe someday.
1498,예술가,An artist,,1,그 예술가의 작품은 독창적이다.,That artist work is original.
1499,의도,"An intention, an aim",,1,그의 진짜 의도가 무엇인지 알 수 없다.,I cannot tell what his real intention is.
1500,저지르다,"do,commit, spoil",,8,돌이킬 수 없는 실수를 저질렀다.,I committed an irreversible mistake.
1501,줄어들다,Dwindle away,,8,인구가 해마다 줄어들고 있다.,The population is dwindling every year.
1502,가만히,Quietly or softly,,5,가만히 앉아서 음악을 들었다.,I sat quietly and listened to music.
1503,건,A matter or an object or a case,,1,이 건에 대해서는 다시 논의합시다.,Let us discuss this matter again.
1504,교회,Preach or moral instruction,,1,그녀는 매주 일요일마다 교회에 간다.,She goes to church every Sunday.
1505,대구,Daegu city,,1,대구는 여름에 특히 더운 도시로 유명하다.,Daegu is famous as a city that is especially hot in summer.
1506,외부,"The exterior, the outside",,1,외부 사람의 출입은 금지되어 있습니다.,Entry by outsiders is prohibited.
1507,한두,One or two,,3,한두 번 실패해도 포기하지 마세요.,Do not give up even if you fail once or twice.
1508,한때,"For a while, temporarily",,5,그는 한때 유명한 가수였다.,He was once a famous singer.
1509,화,Anger (get angry),,1,사소한 일에 화를 내지 마세요.,Do not get angry over trivial things.
1510,흙,"earth, the soil",,1,아이들이 흙으로 성을 만들고 있다.,The children are building a castle with soil.
1511,가난하다,Poor,,9,어린 시절에는 가난했지만 행복했다.,We were poor in childhood but we were happy.
1512,고객,Customer,,1,고객의 의견을 적극적으로 반영하겠습니다.,We will actively reflect customer opinions.
1513,과학자,Scientist,,1,그 과학자는 새로운 물질을 발견했다.,The scientist discovered a new substance.
1514,관광,Sightseeing or tourism,,1,관광 산업이 지역 경제에 큰 도움이 된다.,The tourism industry is a great help to the local economy.
1515,살아오다,To come out alive,,8,그는 어려운 환경에서도 열심히 살아왔다.,He has lived diligently even in difficult circumstances.
1516,상대적,"relatively, correlatively",,4,서울의 물가는 상대적으로 높은 편이다.,Prices in Seoul are relatively high.
1517,수술,Surgery,,1,수술 후 회복하는 데 한 달이 걸렸다.,It took a month to recover after surgery.
1518,식품,Groceries,,1,유기농 식품의 인기가 높아지고 있다.,The popularity of organic food is increasing.
1519,연기,"performance, acting",,1,그 배우의 연기가 정말 감동적이었다.,That actor performance was truly moving.
1520,일월,January,,1,일월은 한 해의 시작이다.,January is the beginning of the year.
1521,조,"article, clause",,1,헌법 제1조를 읽어 보세요.,Please read Article 1 of the Constitution.
1522,첫째,The first,,3,첫째 아이가 올해 초등학교에 입학한다.,The first child enters elementary school this year.
1523,회원,A member of a society,,1,회원 가입을 하면 할인을 받을 수 있습니다.,You can get a discount if you sign up as a member.
1524,도서관,Library,,1,도서관에서 조용히 공부하는 것을 좋아한다.,I like studying quietly at the library.
1525,들려오다,To echo (sound),,8,멀리서 아름다운 노랫소리가 들려왔다.,A beautiful singing voice echoed from far away.
1526,조금씩,"A little at a time, little by little",,5,한국어 실력이 조금씩 나아지고 있다.,My Korean skills are improving little by little.
1527,조미료,"seasoning, condiment",,1,음식에 조미료를 너무 많이 넣지 마세요.,Do not put too much seasoning in the food.
1528,풀리다,To come loose,,8,신발 끈이 풀려서 다시 묶었다.,My shoelace came loose so I tied it again.
1529,강력하다,To be strong or powerful,,9,정부는 강력한 대책을 발표했다.,The government announced powerful countermeasures.
1530,마늘,Garlic,,1,한국 음식에는 마늘이 많이 들어간다.,Korean food uses a lot of garlic.
1531,선물,"A present,gift",,1,생일 선물로 책을 받았다.,I received a book as a birthday gift.
1532,습관,Habit,,1,일찍 일어나는 습관을 들이고 싶다.,I want to develop the habit of waking up early.
1533,아주머니,"An aunt, a respectable word for a married, older woman",,1,옆집 아주머니가 반찬을 나눠 주셨다.,The lady next door shared some side dishes with us.
1534,위험,Danger,,1,혼자 산에 가는 것은 위험하다.,Going to the mountain alone is dangerous.
1535,지하,Underground,,1,주차장은 지하 2층에 있습니다.,The parking lot is on the second basement level.
1536,활용하다,"Utilize, make practical use of",,8,시간을 효율적으로 활용해야 한다.,You must utilize your time efficiently.
1537,가꾸다,1) grow or cultivatea 2) dress oneself up,,8,할아버지는 매일 정원을 가꾸신다.,Grandfather tends the garden every day.
1538,고민,Worry or anguish,,1,진로에 대한 고민이 많다.,I have a lot of worries about my career path.
1539,맨,"bare,naked",,4,아이가 맨발로 뛰어다니고 있다.,The child is running around barefoot.
1540,법률,"A law, statute",,1,새로운 법률이 다음 달부터 시행된다.,The new law will go into effect starting next month.
1541,상처,Wound,,1,넘어져서 무릎에 상처가 났다.,I fell and got a wound on my knee.
1542,좁다,Narrow,,9,이 골목은 차가 지나가기에 너무 좁다.,This alley is too narrow for a car to pass through.
